,Date,Open,High,Low,Close,Volume
8710,20230712 14:40:00 Asia/Calcutta,4481.75,4481.75,4481.5,4481.5,215
8711,20230712 14:41:00 Asia/Calcutta,4481.5,4481.5,4481.25,4481.5,165
8712,20230712 14:42:00 Asia/Calcutta,4481.5,4482.25,4481.5,4481.75,579
8713,20230712 14:43:00 Asia/Calcutta,4481.75,4482.75,4481.75,4482.75,341
8714,20230712 14:44:00 Asia/Calcutta,4482.75,4483.25,4482.5,4483.0,356
8715,20230712 14:45:00 Asia/Calcutta,4483.0,4483.25,4482.25,4482.5,443
8716,20230712 14:46:00 Asia/Calcutta,4482.5,4482.75,4481.5,4482.0,332
8717,20230712 14:47:00 Asia/Calcutta,4482.0,4482.25,4481.75,4481.75,189
8718,20230712 14:48:00 Asia/Calcutta,4481.75,4482.0,4481.5,4482.0,67
8719,20230712 14:49:00 Asia/Calcutta,4482.0,4482.0,4481.5,4481.75,118
8720,20230712 14:50:00 Asia/Calcutta,4481.75,4482.25,4481.75,4482.25,124
8721,20230712 14:51:00 Asia/Calcutta,4482.25,4482.5,4482.0,4482.0,159
8722,20230712 14:52:00 Asia/Calcutta,4482.0,4482.25,4481.75,4482.0,118
8723,20230712 14:53:00 Asia/Calcutta,4482.0,4482.25,4481.75,4481.75,218
8724,20230712 14:54:00 Asia/Calcutta,4482.0,4482.25,4482.0,4482.0,149
8725,20230712 14:55:00 Asia/Calcutta,4482.0,4482.0,4482.0,4482.0,26
8726,20230712 14:56:00 Asia/Calcutta,4482.25,4482.25,4482.0,4482.25,57
8727,20230712 14:57:00 Asia/Calcutta,4482.0,4482.0,4481.75,4482.0,101
8728,20230712 14:58:00 Asia/Calcutta,4482.0,4482.25,4482.0,4482.25,49
8729,20230712 14:59:00 Asia/Calcutta,4482.25,4483.0,4482.25,4482.25,442
8730,20230712 15:00:00 Asia/Calcutta,4482.5,4482.5,4482.0,4482.25,305
8731,20230712 15:01:00 Asia/Calcutta,4482.25,4483.0,4482.25,4482.75,249
8732,20230712 15:02:00 Asia/Calcutta,4482.75,4482.75,4482.5,4482.75,254
8733,20230712 15:03:00 Asia/Calcutta,4482.5,4482.75,4482.0,4482.0,358
8734,20230712 15:04:00 Asia/Calcutta,4482.0,4482.5,4482.0,4482.5,285
8735,20230712 15:05:00 Asia/Calcutta,4482.5,4482.5,4482.25,4482.25,48
8736,20230712 15:06:00 Asia/Calcutta,4482.5,4482.5,4482.5,4482.5,77
8737,20230712 15:07:00 Asia/Calcutta,4482.75,4483.0,4482.75,4482.75,101
8738,20230712 15:08:00 Asia/Calcutta,4482.75,4483.5,4482.75,4483.25,280
8739,20230712 15:09:00 Asia/Calcutta,4483.25,4483.5,4483.0,4483.5,227
8740,20230712 15:10:00 Asia/Calcutta,4483.25,4483.5,4482.75,4482.75,93
8741,20230712 15:11:00 Asia/Calcutta,4483.0,4483.5,4483.0,4483.0,228
8742,20230712 15:12:00 Asia/Calcutta,4483.0,4483.5,4483.0,4483.5,258
8743,20230712 15:13:00 Asia/Calcutta,4483.75,4484.0,4483.25,4483.25,988
8744,20230712 15:14:00 Asia/Calcutta,4483.25,4483.5,4483.25,4483.25,216
8745,20230712 15:15:00 Asia/Calcutta,4483.0,4483.25,4483.0,4483.25,238
8746,20230712 15:16:00 Asia/Calcutta,4483.25,4483.25,4482.5,4482.5,434
8747,20230712 15:17:00 Asia/Calcutta,4482.5,4483.0,4482.25,4482.75,289
8748,20230712 15:18:00 Asia/Calcutta,4483.0,4483.0,4482.75,4482.75,24
8749,20230712 15:19:00 Asia/Calcutta,4482.75,4483.0,4482.75,4482.75,136
8750,20230712 15:20:00 Asia/Calcutta,4482.75,4483.0,4482.5,4482.5,182
8751,20230712 15:21:00 Asia/Calcutta,4482.75,4482.75,4482.25,4482.25,368
8752,20230712 15:22:00 Asia/Calcutta,4482.25,4482.5,4482.0,4482.0,135
8753,20230712 15:23:00 Asia/Calcutta,4482.0,4482.5,4482.0,4482.25,197
8754,20230712 15:24:00 Asia/Calcutta,4482.5,4482.75,4482.5,4482.5,131
8755,20230712 15:25:00 Asia/Calcutta,4482.75,4482.75,4482.5,4482.5,258
8756,20230712 15:26:00 Asia/Calcutta,4482.25,4482.5,4482.25,4482.5,108
8757,20230712 15:27:00 Asia/Calcutta,4482.25,4482.75,4482.0,4482.25,270
8758,20230712 15:28:00 Asia/Calcutta,4482.5,4483.0,4482.25,4482.75,121
8759,20230712 15:29:00 Asia/Calcutta,4482.5,4482.75,4482.5,4482.5,154
8760,20230712 15:30:00 Asia/Calcutta,4482.5,4482.5,4482.25,4482.5,131
8761,20230712 15:31:00 Asia/Calcutta,4482.5,4482.75,4482.5,4482.5,240
8762,20230712 15:32:00 Asia/Calcutta,4482.5,4482.5,4482.0,4482.0,201
8763,20230712 15:33:00 Asia/Calcutta,4482.0,4482.5,4481.5,4482.0,317
8764,20230712 15:34:00 Asia/Calcutta,4481.75,4482.0,4481.0,4481.0,277
8765,20230712 15:35:00 Asia/Calcutta,4481.25,4481.5,4480.75,4481.25,211
8766,20230712 15:36:00 Asia/Calcutta,4481.0,4481.25,4481.0,4481.25,134
8767,20230712 15:37:00 Asia/Calcutta,4481.25,4481.5,4481.25,4481.5,82
8768,20230712 15:38:00 Asia/Calcutta,4481.25,4481.25,4481.0,4481.0,119
8769,20230712 15:39:00 Asia/Calcutta,4481.0,4481.0,4480.75,4481.0,154
8770,20230712 15:40:00 Asia/Calcutta,4481.0,4481.0,4480.25,4480.25,96
8771,20230712 15:41:00 Asia/Calcutta,4480.5,4480.5,4480.25,4480.5,117
